County,Population
Bedfordshire,643962
Berkshire,885654
Buckinghamshire,781167
Cambridgeshire,830279
Cheshire,1039171
Cornwall,545355
County of Bristol,442474
Cumbria,497874
Derbyshire,1032267
Devon,1159832
Dorset,759768
Durham,909849
East Riding of Yorkshire,594825
East Sussex,820842
Essex,1773154
Gloucestershire,882888
Greater London,8546761
Greater Manchester,2732854
Hampshire,1800511
Herefordshire,187160
Hertfordshire,1154766
Isle of Wight,139105
Kent,1784369
Lancashire,1471979
Leicestershire,1005558
Lincolnshire,1060567
Merseyside,1391113
Norfolk,877710
North Yorkshire,1080136
Northamptonshire,714392
Northumberland,315987
Nottinghamshire,1115658
Oxfordshire,672516
Rutland,38022
Shropshire,479561
Somerset,931784
South Yorkshire,1365847
Staffordshire,1111192
Suffolk,738512
Surrey,1161256
Tyne and Wear,1118713
Warwickshire,551594
West Midlands,2808356
West Sussex,828398
West Yorkshire,2264329
Wiltshire,698942
Worcestershire,575421
